timestamp,open,high,low,close,gain,loss,avg gain,avg loss,RS,RSI
13-11-2020,115.19,117.37,115.01,116.85,0,1.51,0.443749061,0.831257082,0.533828909,34.80368024
12-11-2020,115.63,116.37,113.48,114.5,0,2.35,0.4120527,0.939738719,0.438475814,30.48197332
11-11-2020,118.12,118.35,116.22,117.2,2.7,0,0.575477507,0.872614525,0.659486509,39.74039593
10-11-2020,116.69,118.17,116.25,117.91,0.71,0,0.585086256,0.810284916,0.722074723,41.93051053
09-11-2020,117.88,119.74,115.27,115.53,0,2.38,0.543294381,0.922407422,0.588996107,37.06718377
06-11-2020,115.08,115.1,113.39,114.04,0,1.49,0.504487639,0.962949749,0.523898199,34.37881871
05-11-2020,113.3,115.29,113.01,114.77,0.73,0,0.520595665,0.894167624,0.582212609,36.7973688
04-11-2020,112.33,113.91,111.16,111.9,0,2.87,0.483410261,1.035298508,0.466928385,31.83034631
03-11-2020,114,115.65,113.63,114.16,2.26,0,0.610309528,0.961348615,0.634847253,38.83220601
02-11-2020,112.65,113.8265,112.25,112.91,0,1.25,0.56671599,0.981966571,0.577123506,36.59342491
30-10-2020,107.9,111.8,107.75,111.66,0,1.25,0.526236276,1.001111816,0.525651848,34.45424649
29-10-2020,107.25,109.64,106.55,108.91,0,2.75,0.488647971,1.1260324,0.433955516,30.2628297
28-10-2020,108.66,109.73,105.92,106.65,0,2.26,0.453744544,1.207030086,0.375918173,27.32125938
27-10-2020,112.15,112.22,110.03,110.56,3.91,0,0.700619934,1.120813651,0.625099394,38.46530226
26-10-2020,114.45,114.9,111.84,112.22,1.66,0,0.769147082,1.040755533,0.739027617,42.49660038
